# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 9999.999999999998
  20 0.975 264.5 312.224
2700 20 10000
  1 0.025 338.2 262.055
  2 0.075 422.8 282.198
  3 0.125 499.8 267.051
  4 0.175 528.1 259.531
  5 0.225 567.1 266.44
  6 0.275 551.3 266.744
  7 0.325 563.7 265.784
  8 0.375 582.9 253.393
  9 0.425 518.2 268.603
  10 0.475 557.1 262.899
  11 0.525 495.1 269.711
  12 0.575 548.3 277.573
  13 0.625 556.7 266.466
  14 0.675 568.4 285.472
  15 0.725 544.3 281.564
  16 0.775 545.1 274.748
  17 0.825 527 250.965
  18 0.875 460.8 282.779
  19 0.925 349.2 276.709
  20 0.975 275.9 310.056
2750 20 10000
  1 0.025 338.6 258.903
  2 0.075 426.5 287.894
  3 0.125 500 265.599
  4 0.175 526.4 263.281
  5 0.225 561.5 269.996
  6 0.275 546.1 267.91
  7 0.325 572.1 257.525
  8 0.375 585 264.558
  9 0.425 517.4 268.894
  10 0.475 556.2 261.319
  11 0.525 497.4 272.78
  12 0.575 546.2 269.721
  13 0.625 563.3 275.926
  14 0.675 564.1 284.515
  15 0.725 539.4 281.118
  16 0.775 543.9 282.136
  17 0.825 529.4 254.771
  18 0.875 454.6 287.297
  19 0.925 343.2 284.58
  20 0.975 288.7 303.93
2800 20 9999.999999999998
  1 0.025 333.1 267.414
  2 0.075 426 293.573
  3 0.125 501.2 266.782
  4 0.175 530.6 267.584
  5 0.225 552.4 268.828
  6 0.275 548.3 269.926
  7 0.325 567.4 262.914
  8 0.375 591.2 270.172
  9 0.425 518.6 267.969
  10 0.475 557.3 257.023
  11 0.525 497.8 275.375
  12 0.575 548.4 271.881
  13 0.625 563.5 282.524
  14 0.675 558.3 287.726
  15 0.725 537.9 277.335
  16 0.775 545.5 281.117
  17 0.825 533.8 261.481
  18 0.875 450.3 288.698
  19 0.925 340.4 290.789
  20 0.975 298 306.234
2850 20 10000
  1 0.025 331.8 263.506
  2 0.075 424.1 299.759
  3 0.125 502.1 266.525
  4 0.175 526.9 264.386
  5 0.225 559.6 265.266
  6 0.275 545.3 269.648
  7 0.325 565.6 267.681
  8 0.375 597.5 266.222
  9 0.425 511.3 264.189
  10 0.475 556.9 254.995
  11 0.525 501.8 274.201
  12 0.575 544.7 273.475
  13 0.625 571.6 276.162
  14 0.675 549.5 290.308
  15 0.725 543.3 277.509
  16 0.775 548.3 277.636
  17 0.825 535.9 262.95
  18 0.875 434.9 281.061
  19 0.925 349.7 298.206
  20 0.975 299.2 300.781
2900 20 9999.999999999998
  1 0.025 329.8 256.317
  2 0.075 424.1 303.71
  3 0.125 502.5 274.422
  4 0.175 527.1 266.047
  5 0.225 561.2 263.427
  6 0.275 549.8 273.503
  7 0.325 558.7 262.207
  8 0.375 604.6 267.096
  9 0.425 509.9 264.085
  10 0.475 562 259.704
  11 0.525 492.5 271.038
  12 0.575 543 269.87
  13 0.625 576.4 271.874
  14 0.675 549.7 296.873
  15 0.725 545.3 279.632
  16 0.775 547.9 281.708
  17 0.825 531.1 264.846
  18 0.875 433.3 279.046
  19 0.925 348.3 293.243
  20 0.975 302.8 304.144
2950 20 9999.999999999998
  1 0.025 331.5 259.717
  2 0.075 418.5 295.489
  3 0.125 510.8 285.942
  4 0.175 525.1 263.96
  5 0.225 560.6 267.871
  6 0.275 539.7 273.91
  7 0.325 557.4 261.706
  8 0.375 607.7 271.142
  9 0.425 511.2 265.133
  10 0.475 569 267.157
  11 0.525 482.7 272.647
  12 0.575 552.2 271.442
  13 0.625 575.9 275.019
  14 0.675 550.3 301.679
  15 0.725 535.7 280.772
  16 0.775 555.4 280.601
  17 0.825 523.7 270.664
  18 0.875 438.9 282.912
  19 0.925 345.9 297.688
